iter	Logloss
0	0.689092721
1	0.6843854938
2	0.6793318795
3	0.678171719
4	0.672749025
5	0.6687076071
6	0.663553963
7	0.6597923826
8	0.6581252809
9	0.654193713
10	0.652418167
11	0.650511309
12	0.6479432848
13	0.6453809189
14	0.6418144519
15	0.6364515387
16	0.6328544553
17	0.6294788285
18	0.6221147635
19	0.6193276579
20	0.616155278
21	0.6110989933
22	0.607420485
23	0.6022664169
24	0.596770238
25	0.5919365835
26	0.5897408814
27	0.5874303573
28	0.5831192898
29	0.5794631893
30	0.5744399481
31	0.5705801178
32	0.5666459924
33	0.5659726852
34	0.5638124994
35	0.5578020665
36	0.5554732008
37	0.5522048713
38	0.5480559028
39	0.546766414
40	0.544932709
41	0.5423363107
42	0.5371749471
43	0.5337728262
44	0.5296121698
45	0.5236540521
46	0.5206175092
47	0.5190214778
48	0.5153018145
49	0.5135639211
50	0.50986222
51	0.5065035451
52	0.5041229064
53	0.5017073152
54	0.4982051817
55	0.4954624482
56	0.4929298505
57	0.4900451141
58	0.4880773678
59	0.4878901641
60	0.484827644
61	0.4829850852
62	0.481056109
63	0.4798546018
64	0.478164867
65	0.4764061622
66	0.4728822401
67	0.4716216472
68	0.469804353
69	0.4677820047
70	0.4654908524
71	0.4650685601
72	0.464001442
73	0.4615987699
74	0.4578760029
75	0.4564379837
76	0.4542667548
77	0.4525224369
78	0.4504800064
79	0.4479490542
80	0.4456391141
81	0.4428104351
82	0.4412620467
83	0.4393425541
84	0.4373744061
85	0.4352532577
86	0.4324974151
87	0.4310242981
88	0.4298617568
89	0.4282776935
90	0.4246673699
91	0.422210792
92	0.4204648514
93	0.417935545
94	0.4154768397
95	0.4135617647
96	0.4121003529
97	0.4103209975
98	0.4070599263
99	0.4049525002
100	0.4035389663
